# track|step|required_rank|required_combat_level|vanilla_xp_levels|item_id=count,...
# Auto-input costs and rare-material totals follow issue #14; other prices are reviewable balance defaults.
rank|1|0|10|10|minecraft:furnace=1,minecraft:iron_block=4,minecraft:blaze_rod=4
rank|2|1|20|15|minecraft:iron_block=8,minecraft:gold_block=4,minecraft:redstone_block=8,minecraft:obsidian=16,minecraft:diamond_block=1
rank|3|2|30|25|minecraft:iron_block=12,minecraft:gold_block=6,minecraft:redstone_block=12,minecraft:obsidian=24,minecraft:diamond_block=2
rank|4|3|45|35|minecraft:iron_block=16,minecraft:gold_block=8,minecraft:redstone_block=16,minecraft:obsidian=32,minecraft:diamond_block=3
rank|5|4|60|45|minecraft:iron_block=20,minecraft:gold_block=10,minecraft:redstone_block=20,minecraft:obsidian=40,minecraft:diamond_block=4,minecraft:netherite_ingot=1
rank|6|5|75|55|minecraft:iron_block=24,minecraft:gold_block=12,minecraft:redstone_block=24,minecraft:obsidian=48,minecraft:diamond_block=5,minecraft:netherite_ingot=2
rank|7|6|90|65|minecraft:iron_block=28,minecraft:gold_block=14,minecraft:redstone_block=28,minecraft:obsidian=56,minecraft:diamond_block=6,minecraft:netherite_ingot=3
chambers|1|4|45|25|minecraft:wither_skeleton_skull=1,minecraft:blast_furnace=2,minecraft:iron_block=16,minecraft:gold_block=8,minecraft:obsidian=32,minecraft:diamond_block=2
chambers|2|6|75|40|minecraft:wither_skeleton_skull=2,minecraft:blast_furnace=4,minecraft:iron_block=32,minecraft:gold_block=16,minecraft:obsidian=64,minecraft:diamond_block=4,minecraft:netherite_ingot=1
chambers|3|7|90|60|minecraft:wither_skeleton_skull=4,minecraft:blast_furnace=6,minecraft:iron_block=48,minecraft:gold_block=24,minecraft:obsidian=96,minecraft:diamond_block=6,minecraft:netherite_ingot=4,minecraft:nether_star=1
speed|1|2|20|20|minecraft:end_crystal=1,minecraft:redstone_block=8,minecraft:gold_block=4,minecraft:diamond_block=1
speed|2|3|30|25|minecraft:end_crystal=2,minecraft:redstone_block=16,minecraft:gold_block=8,minecraft:diamond_block=2
speed|3|4|45|30|minecraft:end_crystal=3,minecraft:redstone_block=24,minecraft:gold_block=12,minecraft:diamond_block=3
speed|4|5|60|35|minecraft:end_crystal=4,minecraft:redstone_block=32,minecraft:gold_block=16,minecraft:diamond_block=4,minecraft:netherite_ingot=1
speed|5|7|90|40|minecraft:end_crystal=6,minecraft:redstone_block=40,minecraft:gold_block=20,minecraft:diamond_block=5,minecraft:netherite_ingot=2
efficiency|1|2|20|20|minecraft:netherite_upgrade_smithing_template=1,minecraft:obsidian=16,minecraft:diamond_block=1
efficiency|2|3|30|25|minecraft:netherite_upgrade_smithing_template=1,minecraft:obsidian=32,minecraft:diamond_block=2
efficiency|3|4|45|30|minecraft:netherite_upgrade_smithing_template=1,minecraft:obsidian=48,minecraft:diamond_block=3,minecraft:netherite_scrap=2
efficiency|4|5|60|35|minecraft:netherite_upgrade_smithing_template=2,minecraft:obsidian=64,minecraft:diamond_block=4,minecraft:netherite_ingot=1
efficiency|5|6|75|40|minecraft:netherite_upgrade_smithing_template=2,minecraft:obsidian=80,minecraft:diamond_block=5,minecraft:netherite_ingot=2
efficiency|6|7|90|45|minecraft:netherite_upgrade_smithing_template=3,minecraft:obsidian=96,minecraft:diamond_block=6,minecraft:netherite_ingot=4
capacity|1|2|20|20|minecraft:crying_obsidian=8,minecraft:obsidian=16,minecraft:iron_block=8,minecraft:diamond_block=1
capacity|2|3|30|25|minecraft:crying_obsidian=16,minecraft:obsidian=32,minecraft:iron_block=16,minecraft:diamond_block=2
capacity|3|4|45|30|minecraft:crying_obsidian=24,minecraft:obsidian=48,minecraft:iron_block=24,minecraft:diamond_block=3
capacity|4|6|75|35|minecraft:crying_obsidian=32,minecraft:obsidian=64,minecraft:iron_block=32,minecraft:diamond_block=4,minecraft:netherite_ingot=1
capacity|5|7|90|40|minecraft:crying_obsidian=48,minecraft:obsidian=80,minecraft:iron_block=40,minecraft:diamond_block=5,minecraft:netherite_ingot=2
insulation|1|2|20|15|minecraft:blue_ice=16,minecraft:snow_block=32,minecraft:obsidian=8,minecraft:diamond_block=1,minecraft:white_wool=32
insulation|2|3|30|20|minecraft:blue_ice=32,minecraft:snow_block=64,minecraft:obsidian=16,minecraft:diamond_block=1
insulation|3|4|45|30|minecraft:blue_ice=48,minecraft:snow_block=96,minecraft:obsidian=24,minecraft:diamond_block=2
insulation|4|6|75|40|minecraft:blue_ice=64,minecraft:snow_block=128,minecraft:obsidian=32,minecraft:diamond_block=3,minecraft:netherite_ingot=1
insulation|5|7|90|50|minecraft:blue_ice=64,minecraft:snow_block=160,minecraft:obsidian=40,minecraft:diamond_block=2,minecraft:netherite_ingot=2,mowziesmobs:ice_crystal=1
queue|1|2|20|15|minecraft:shulker_shell=1,minecraft:iron_block=8,minecraft:gold_block=4,minecraft:diamond_block=1
queue|2|3|30|20|minecraft:shulker_shell=2,minecraft:iron_block=16,minecraft:gold_block=8,minecraft:diamond_block=2
queue|3|4|45|25|minecraft:shulker_shell=3,minecraft:iron_block=24,minecraft:gold_block=12,minecraft:diamond_block=3
queue|4|5|60|35|minecraft:shulker_shell=4,minecraft:iron_block=32,minecraft:gold_block=16,minecraft:diamond_block=4,minecraft:netherite_ingot=1
queue|5|7|90|45|minecraft:shulker_shell=8,minecraft:iron_block=40,minecraft:gold_block=20,minecraft:diamond_block=5,minecraft:netherite_ingot=2
fuel_storage|1|2|20|20|minecraft:ghast_tear=2,minecraft:iron_block=8,minecraft:gold_block=4,minecraft:obsidian=16
fuel_storage|2|3|30|30|minecraft:ghast_tear=4,minecraft:iron_block=16,minecraft:gold_block=8,minecraft:obsidian=32
fuel_storage|3|5|60|40|minecraft:ghast_tear=6,minecraft:iron_block=24,minecraft:gold_block=12,minecraft:obsidian=48
fuel_storage|4|7|90|50|minecraft:ghast_tear=8,minecraft:iron_block=32,minecraft:gold_block=16,minecraft:obsidian=64,minecraft:netherite_ingot=2
output|1|2|20|20|minecraft:heart_of_the_sea=1,minecraft:ender_chest=1,minecraft:iron_block=8,minecraft:diamond_block=1
output|2|3|30|30|minecraft:heart_of_the_sea=1,minecraft:ender_chest=2,minecraft:iron_block=16,minecraft:diamond_block=2
output|3|5|60|40|minecraft:heart_of_the_sea=1,minecraft:ender_chest=3,minecraft:iron_block=24,minecraft:diamond_block=3,minecraft:netherite_ingot=1
output|4|7|90|50|minecraft:heart_of_the_sea=2,minecraft:ender_chest=4,minecraft:iron_block=32,minecraft:diamond_block=4,minecraft:netherite_ingot=2
auto_fuel|1|4|45|25|minecraft:totem_of_undying=1,minecraft:redstone_block=8,minecraft:gold_block=4,minecraft:comparator=4,minecraft:diamond_block=1
auto_fuel|2|5|60|35|minecraft:totem_of_undying=1,minecraft:redstone_block=16,minecraft:gold_block=8,minecraft:comparator=8,minecraft:diamond_block=2
auto_fuel|3|6|75|45|minecraft:totem_of_undying=1,minecraft:redstone_block=24,minecraft:gold_block=12,minecraft:comparator=12,minecraft:diamond_block=3,minecraft:netherite_ingot=1
auto_fuel|4|7|90|55|minecraft:totem_of_undying=2,minecraft:redstone_block=32,minecraft:gold_block=16,minecraft:comparator=16,minecraft:diamond_block=4,minecraft:netherite_ingot=2
auto_input|1|5|60|35|minecraft:calibrated_sculk_sensor=1,minecraft:iron_block=16,minecraft:redstone_block=16,minecraft:gold_block=8,minecraft:diamond_block=2,minecraft:obsidian=32
auto_input|2|5|65|45|minecraft:calibrated_sculk_sensor=2,minecraft:iron_block=32,minecraft:redstone_block=32,minecraft:gold_block=16,minecraft:diamond_block=4,minecraft:obsidian=64
auto_input|3|6|75|55|minecraft:echo_shard=1,minecraft:redstone_block=48,minecraft:gold_block=24,minecraft:diamond_block=6,minecraft:crying_obsidian=32,minecraft:netherite_ingot=1
auto_input|4|6|80|70|minecraft:echo_shard=1,minecraft:gold_block=32,minecraft:diamond_block=8,minecraft:crying_obsidian=64,minecraft:netherite_ingot=3
auto_input|5|7|90|85|minecraft:echo_shard=2,minecraft:diamond_block=16,minecraft:gold_block=32,minecraft:redstone_block=64,minecraft:crying_obsidian=64,minecraft:netherite_ingot=6,minecraft:nether_star=1
